IMDB ID	Rotten Tomatoes ID	Title	Action & Adventure	Animation	Art House & International	Classics	Comedy	Cult Movies	Documentary	Drama	Horror	Kids & Family	Musical & Performing Arts	Mystery & Suspense	Romance	Science Fiction & Fantasy	Special Interest	Television	Western	Critics Score	Audience Score	Audience Rating	Critics Rating	runtime	year	mpaa_rating	actor1	character1	actor2	character2	actor3	character3	actor4	character4	actor5	character5	Budget	Gross	Oscar Wins	Oscar Nominations
0120801	746767079	"RKO 281: The Battle Over Citizen Kane"	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	92	74	Upright	Fresh	90	1999	"R"	Liev Schreiber	Orson Welles	James Cromwell	William Randolph Hearst	Melanie Griffith	Marion Davies	John Malkovich	Herman Mankiewicz	Brenda Blethyn	Louella Parsons	12000000		0	0	
0110737	10313	"Only You"	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	48	70	Upright	Rotten	108	1994	"PG"	Marisa Tomei	Faith Corvatch	Robert Downey Jr.	Peter Wright	Bonnie Hunt	Kate Corvatch	Joaquim de Almeida	Giovanni	Fisher Stevens	Larry Corvatch			0	0	
0110632	17098	"Natural Born Killers"	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	48	82	Upright	Rotten	119	1994	"R"	Woody Harrelson	Mickey Knox	Juliette Lewis	Mallory Knox	Robert Downey Jr.	Wayne Gale	Tommy Lee Jones	Dwight McClusky	Tom Sizemore	Jack Scagnetti	34000000	50282766	0	0	
0055601	287449364	"Viridiana"	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	100	91	Upright	Fresh	90	1961	"R"	Silvia Pinal	Viridiana	Fernando Rey	Don Jaime	Francisco Rabal	Jorge	Margarita Lozano	Ramona	Victoria Zinny	Lucia			0	0	
0084827	12120	"TRON"	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	71	70	Upright	Fresh	96	1982	"PG"	Jeff Bridges	Kevin Flynn/Clu	Bruce Boxleitner	Alan Bradley/Tron	David Warner	Ed Dillinger/Sark	Cindy Morgan	Lora/Yori	Barnard Hughes	Dr. Walter Gibbs/Dumont	17000000	26918576	0	2	
0217505	13106	"Gangs of New York"	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	75	81	Upright	Certified Fresh	166	2002	"R"	Leonardo DiCaprio	Amsterdam Vallon	Daniel Day-Lewis	William Cutting a.k.a. Bill the Butcher	Cameron Diaz	Jenny Everdeane	Jim Broadbent	William "Boss" Tweed	John C. Reilly	Happy Jack	97000000	77679638	0	10	
0098084	13130	"Pet Sematary"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	45	60	Upright	Rotten	103	1989	"R"	Dale Midkiff	Dr. Louis Creed	Fred Gwynne	Jud Crandall	Denise Crosby	Rachel Creed	Brad Greenquist	Victor Pascow	Michael Lombard	Irwin Goldman	11500000	57469179	0	0	
0125664	13765	"Man on the Moon"	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	63	79	Upright	Fresh	118	1999	"R"	Jim Carrey	Andy Kaufman	Danny DeVito	George Shapiro	Courtney Love	Lynne Margulies	Paul Giamatti	Bob Zmuda	Tony Clifton		52000000	34580635	0	0	
0100405	13006	"Pretty Woman"	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	62	68	Upright	Fresh	117	1990	"R"	Richard Gere	Edward Lewis	Julia Roberts	Vivian Ward	Ralph Bellamy	James Morse	Jason Alexander	Philip Stuckey	Laura San Giacomo	Kit De Luca	14000000	178406268	0	1	
0082348	13073	"Excalibur"	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	82	81	Upright	Fresh	140	1981	"R"	Nigel Terry	King Arthur	Nicol Williamson	Merlin	Nicholas Clay	Lancelot	Helen Mirren	Morgana	Cherie Lunghi	Guenevere			0	1	
0195714	13223	"Final Destination"	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	33	69	Upright	Rotten	98	2000	"R"	Devon Sawa	Alex Browning	Amanda Detmer	Terry Chaney	Chad E. Donella	Tod Waggner	Ali Larter	Clear Rivers	Daniel Roebuck	Agent Weine	23000000	53302314	0	0	
0084787	770670734	"The Thing (La Cosa)"	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	-1	13	Spilled		59	1990	"Unrated"											15000000	19629760	0	0	
0111300	770689623	"Stranglehold"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	Spilled		73	1994	"R"	Ronald Asinas	Terrorist #1	Paul Holmes	Henry Barnes	Jim Kelly	Executive #4	Jillian McWhirter	Helen Filmore	Ken Metcalfe	Ambassador Filmore			0	0	
0077416	12994	"The Deer Hunter"	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	92	92	Upright	Certified Fresh	183	1978	"R"	Robert De Niro	Michael	John Cazale	Stan	John Savage	Steven	Meryl Streep	Linda	Christopher Walken	Nick	15000000	50000000	5	4	
0162661	12871	"Sleepy Hollow"	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	67	81	Upright	Fresh	105	1999	"R"	Johnny Depp	Ichabod Crane	Christina Ricci	Katrina Van Tassel	Miranda Richardson	Lady Van Tassel	Michael Gambon	Baltus Van Tassel	Casper Van Dien	Brom Van Brunt	100000000	101068340	1	2	
0076759	11292	"Star Wars: Episode IV - A New Hope"	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	93	96	Upright	Certified Fresh	121	1977	"PG"	Mark Hamill	Luke Skywalker	Anthony Daniels	C-3PO	Harrison Ford	Han Solo	Carrie Fisher	Princess Leia	Peter Cushing	Grand Moff Tarkin	11000000	460935665	0	0	
0112594	770768834	"A Bucket of Blood (Dark Secrets) (The Death Artist)"	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	-1	23	Spilled		85	1995	"R"	Anthony Michael Hall		Justine Bateman		Shadoe Stevens								0	0	
0096895	10483	"Batman"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	84	Upright	Fresh	126	1989	"PG-13"	Michael Keaton	Batman/Bruce Wayne	Jack Nicholson	Joker/Jack Napier	Kim Basinger	Vicki Vale	Robert Wuhl	Alexander Knox	Pat Hingle	Commissioner Gordon	35000000	251188924	1	0	
